contractType,dayToExpire,strikePrice,spotPrice,RFR,settlePrice,,dayToExpire
0,29,2.896,2.655,0.024654,0.0046,,0.11372549
0,28,2.896,2.601,0.024654,0.0037,,0.109803922
0,27,2.896,2.651,0.024654,0.0044,,0.105882353
0,26,2.896,2.643,0.024654,0.0035,,0.101960784
0,26,2.896,2.686,0.024654,0.0038,,0.101960784
0,22,2.896,2.696,0.024654,0.0039,,0.08627451
0,21,2.896,2.686,0.024654,0.0031,,0.082352941
0,20,2.896,2.694,0.024654,0.0023,,0.078431373
0,19,2.896,2.652,0.024654,0.0017,,0.074509804
0,17,2.896,2.652,0.024654,0.0017,,0.066666667
0,16,2.896,2.663,0.024654,0.0017,,0.062745098
0,15,2.896,2.688,0.024654,0.0016,,0.058823529
0,14,2.896,2.672,0.024654,0.0011,,0.054901961
0,13,2.896,2.675,0.024654,0.001,,0.050980392
0,12,2.896,2.678,0.024654,9.00E-04,,0.047058824
0,8,2.896,2.612,0.024654,7.00E-04,,0.031372549
0,7,2.896,2.61,0.024654,4.00E-04,,0.02745098
0,6,2.896,2.592,0.024654,3.00E-04,,0.023529412
0,5,2.896,2.598,0.024654,3.00E-04,,0.019607843
0,2,2.896,2.548,0.024654,2.00E-04,,0.007843137
0,1,2.896,2.52,0.024654,2.00E-04,,0.003921569
1,72,2.896,2.655,0.024654,0.2703,,0.282352941
1,71,2.896,2.626,0.024654,0.2949,,0.278431373
1,70,2.896,2.643,0.024654,0.276,,0.274509804
1,69,2.896,2.676,0.024654,0.2455,,0.270588235
1,68,2.896,2.637,0.024654,0.2794,,0.266666667
1,64,2.896,2.722,0.024654,0.2089,,0.250980392
1,60,2.896,2.642,0.024654,0.2622,,0.235294118
1,59,2.896,2.642,0.024654,0.2622,,0.231372549
1,55,2.896,2.654,0.024654,0.2524,,0.215686275
1,54,2.896,2.634,0.024654,0.2699,,0.211764706
1,51,2.896,2.674,0.024654,0.2366,,0.2
1,50,2.896,2.714,0.024654,0.2064,,0.196078431
1,49,2.896,2.711,0.024654,0.211,,0.192156863
1,48,2.896,2.723,0.024654,0.1855,,0.188235294
1,47,2.896,2.716,0.024654,0.1907,,0.184313725
1,45,2.896,2.745,0.024654,0.1618,,0.176470588
1,37,2.896,2.736,0.024654,0.1586,,0.145098039
1,36,2.896,2.717,0.024654,0.1743,,0.141176471
1,34,2.896,2.655,0.024654,0.2262,,0.133333333
1,30,2.896,2.667,0.024654,0.2193,,0.117647059
1,29,2.896,2.655,0.024654,0.2321,,0.11372549
1,28,2.896,2.601,0.024654,0.2864,,0.109803922
